nombre,descripcion,precio,precio_2
CALIFORNIA,"palmito de cangrejo, aguacate y langostino, envuelto en caviar",22900,14900
MAKI ICHI,"salmon, atun, aguacate, caviar de cangrejo, queso crema, envuelto en anguila ahumada",30300,18900
CREAM CHESSE SYAKE,salmon queso crema y aguacate,22.900,14900
WAKAME ROLL,"salmon, anguila, caviar de cangrejo, envuelto en wakame y ajonjoli",31900,19900
SALMON SKIN,"salmon, piel de salmon tostada, aguacate, caviar de cangrejo y queso crema",24900,14900
ARCOIRIS,"variedad de pescados, caviar cangrejo, caviar de pez volador",32900,20900
EBI MAKI,"atun, salmon, pargo rojo, caviar de cangrejo, aguacate, envuelto en langostinos",32900,20900
Tekka Maki,cambiar nombre por TEKKA MAKI y quitar queso crema,24900,14900
KAPPA MAKI,rollo con pepino y ajonjoli ,15000,8000
FUTO MAKI,"pulpo, calamar, aguacate y caviar de cangrejo",32900,21900
OJO DE TIGRE,"salmon, atun, palmito de cangrejo, aguacate,  envuelto en caviar y ajonoli",28300,17500
FUJI MAKI,"atun, palmito de cangrejo, caviar y queso crema, envuelto en aguacate",28300,17500
MAKI DAY,"atun, palmito, mayonesa japonesa, aguacate, envuelto en salmon fresco",28500,17900